delta,epsilon,avg,max_surprise
0.67,0.16,1.0187,67.2417
0.54,0.58,1.33237,388.713
0.98,0.5,0.471491,4722.37
0.6,0.88,7.93266,113146
0.79,0.64,1.82838,21291.3
0.92,0.16,1.14176,3264.76
0.73,0.36,1.16725,672.144
0.85,0.88,2.43452,40657.1
0.67,0.14,1.01476,55.4386
0.54,0.56,1.30636,446.772
0.98,0.48,0.419637,4690.39
0.6,0.86,5.88241,64802.7
0.92,0.14,0.91965,2358.27
0.79,0.62,1.50325,6714.57
0.85,0.86,2.84414,41975.5
0.73,0.34,1.11379,813.889
0.6,0.84,6.07158,93661.1
0.67,0.12,1.01699,73.1616
0.98,0.46,0.448214,5339.92
0.92,0.12,1.26574,11219
0.79,0.6,5.28132,261292
0.54,0.54,1.24587,180.811
0.73,0.32,1.07322,353.721
0.85,0.84,1.94557,25977.6
0.6,0.82,3.22672,9517.78
0.67,0.1,1.00997,45.0096
0.92,0.1,1.0901,13252.4
0.79,0.58,1.18078,1637.92
0.98,0.44,0.954229,25407.3
0.54,0.52,1.2181,169.91
0.73,0.3,1.10508,708.351
0.6,0.8,2.58822,3077.83
0.92,0.08,0.988183,2114.02
0.67,0.08,1.00475,32.5759
0.85,0.82,2.87694,44166
0.79,0.56,1.21389,1357.64
0.54,0.5,1.18638,375.457
0.98,0.42,0.466977,3848.72
0.73,0.28,1.10507,732.532
0.6,0.78,2.53007,10709.4
0.92,0.06,1.43112,29584.2
0.67,0.06,0.995263,54.6019
0.85,0.8,15.7921,839371
0.79,0.54,1.27095,6025.56
0.98,0.4,1.66716,62002
0.54,0.48,1.19055,130.356
0.73,0.26,1.07,729.852
0.67,0.04,1.00011,41.9415
0.92,0.04,1.00438,2086.05
0.6,0.76,2.55652,7945.62
0.85,0.78,1.46514,13333.9
0.98,0.38,0.690434,11063.2
0.79,0.52,1.55562,20625.2
0.54,0.46,1.14564,205.634
0.73,0.24,1.0794,641.759
0.67,0.02,0.992442,28.9802
0.92,0.02,0.983424,1371.98
0.6,0.74,2.19893,2636.12
0.85,0.76,1.34498,10360.8
0.98,0.36,0.551856,4237.31
0.79,0.5,1.37246,6138.43
0.54,0.44,1.13093,89.5174
0.67,0,0.996196,19.6348
0.73,0.22,1.06878,245.054
0.92,0,0.919641,1162.73
0.6,0.72,1.92513,1829.58
0.85,0.74,2.19481,44425.6
0.79,0.48,2.32216,51357.2
0.54,0.42,1.11789,63.7169
0.98,0.34,0.792484,16804.6
0.66,0.98,329.26,7.60238e+06
0.73,0.2,1.06105,400.164
0.91,0.98,166.76,9.82206e+06
0.79,0.46,1.44519,4747.7
0.54,0.4,1.1054,79.3741
0.98,0.32,0.504827,3563.56
0.85,0.72,1.06729,3741.02
0.6,0.7,1.82882,1542.14
0.66,0.96,112.713,3.26708e+06
0.91,0.96,7.73189,446821
0.73,0.18,1.04843,254.495
0.79,0.44,1.2148,1643.13
0.54,0.38,1.09875,91.0623
0.98,0.3,0.997416,18914.6
0.85,0.7,3.48757,121794
0.66,0.94,33.9493,930028
0.73,0.16,1.03106,420.473
0.6,0.68,1.64517,1969.26
0.79,0.42,1.16147,3179
0.54,0.36,1.07826,42.8353
0.91,0.94,16.9437,867560
0.98,0.28,0.551546,5893.46
0.85,0.68,2.91808,87195.9
0.73,0.14,1.02804,156.045
0.6,0.66,1.67974,2950.27
0.54,0.34,1.07368,66.6953
0.91,0.92,1.5878,22303
0.98,0.26,0.492023,2561.7
0.66,0.92,12.5141,124742
0.79,0.4,1.11235,1772.26
0.85,0.66,2.11807,38318.8
0.73,0.12,1.00933,124.424
0.54,0.32,1.05746,43.0067
0.6,0.64,1.60319,1484.11
0.91,0.9,0.937835,17265.6
0.66,0.9,26.0292,877667
0.85,0.64,1.47442,14229.5
0.98,0.24,0.882596,10029.2
0.73,0.1,1.02196,286.673
0.54,0.3,1.05099,41.1955
0.79,0.38,1.23012,1097.08
0.6,0.62,1.41635,1996.34
0.91,0.88,4.34905,203682
0.98,0.22,3.54233,196032
0.66,0.88,7.95011,43838.3
0.85,0.62,1.20267,7009.08
0.79,0.36,1.05651,962.874
0.73,0.08,0.999498,114.604
0.6,0.6,1.40632,1579.52
0.54,0.28,1.04579,20.2992
0.91,0.86,3.20936,92589.8
0.85,0.6,1.3292,6823.11
0.66,0.86,4.72378,24567.2
0.98,0.2,0.744094,13920.2
0.79,0.34,1.13406,2242.72
0.6,0.58,1.39843,764.742
0.54,0.26,1.02866,17.5292
0.73,0.06,1.01107,64.2963
0.66,0.84,3.92767,57110.1
0.98,0.18,0.570246,2377.55
0.91,0.84,1.3433,9779.87
0.85,0.58,1.5274,9841.9
0.79,0.32,1.09122,996.353
0.6,0.56,1.32839,323.751
0.54,0.24,1.03355,14.1316
0.73,0.04,0.995895,101.238
0.66,0.82,3.60152,12697.6
0.98,0.16,0.653865,2806.11
0.91,0.82,0.96104,17544.2
0.85,0.56,1.78787,27516.6
0.79,0.3,1.10782,783.327
0.6,0.54,1.3097,1050.97
0.54,0.22,1.02182,15.2343
0.73,0.02,0.985336,71.0542
0.98,0.14,0.757973,10997.2
0.91,0.8,4.66124,142408
0.66,0.8,3.43459,59492.3
0.85,0.54,1.05952,3532.72
0.79,0.28,1.05371,1452.21
0.6,0.52,1.21554,343.385
0.54,0.2,1.02041,12.6043
0.98,0.12,0.768085,6100.25
0.91,0.78,0.922243,9391.17
0.73,0,0.987859,71.9372
0.85,0.52,1.65745,27407
0.79,0.26,1.09855,912.301
0.66,0.78,2.9904,35085.4
0.6,0.5,1.22544,295.462
0.54,0.18,1.01653,8.81239
0.91,0.76,2.02445,73764.3
0.98,0.1,0.830886,7741.56
0.72,0.98,118.356,1.82485e+06
0.79,0.24,1.1071,1038.69
