delta,epsilon,avg,max_surprise
0.52,0.18,1.01254,7.88575
0.83,0.52,1.35408,16915.1
0.77,0.32,1.13661,3049.45
0.58,0.48,1.20655,167.737
0.89,0.78,0.837903,5741.4
0.64,0.72,2.15972,9444.1
0.96,0.1,1.1012,7925.33
0.7,0.96,46.6053,753834
0.83,0.5,1.1634,2953.44
0.77,0.3,1.13152,1273.89
0.52,0.16,1.01178,5.49751
0.64,0.7,1.93875,7529.12
0.58,0.46,1.18163,213.893
0.89,0.76,1.35866,37012
0.96,0.08,0.795484,1466.4
0.7,0.94,24.2145,731113
0.83,0.48,1.29201,8081.81
0.77,0.28,1.0976,963.772
0.52,0.14,1.00536,4.66439
0.58,0.44,1.15412,264.294
0.89,0.74,1.31094,31714.4
0.64,0.68,1.75883,2567.15
0.7,0.92,20.6723,341711
0.96,0.06,1.02579,8424.09
0.77,0.26,1.08995,881.139
0.58,0.42,1.13706,142.115
0.83,0.46,1.33678,4806.11
0.52,0.12,1.00623,4.33988
0.64,0.66,1.73501,3440.27
0.7,0.9,13.7848,180484
0.89,0.72,0.798728,9151.13
0.96,0.04,0.801316,2265.55
0.77,0.24,1.07856,762.596
0.58,0.4,1.14083,168.906
0.83,0.44,1.05145,1716.09
0.52,0.1,1.00108,3.87166
0.64,0.64,1.65987,5707.31
0.7,0.88,5.37848,92367.7
0.96,0.02,0.716698,1847.95
0.89,0.7,0.995102,11220.6
0.77,0.22,1.07333,614.922
0.58,0.38,1.1123,89.7353
0.83,0.42,1.55512,25359.3
0.52,0.08,1.00195,2.96408
0.64,0.62,1.84605,18279.7
0.7,0.86,5.3674,61005.4
0.96,0,0.909109,2326.37
0.77,0.2,1.02028,333.931
0.89,0.68,1.01831,9076.96
0.58,0.36,1.07668,108.289
0.83,0.4,1.05866,1796.07
0.52,0.06,1.00121,2.64312
0.64,0.6,1.51648,3224.5
0.77,0.18,1.0333,758.719
0.7,0.84,3.85658,36078.1
0.58,0.34,1.0866,74.1735
0.83,0.38,1.17186,3035.66
0.89,0.66,1.29379,12430.2
0.52,0.04,0.999858,2.19771
0.77,0.16,1.0164,416.018
0.64,0.58,1.36985,846.59
0.95,0.98,2.58937,79527.2
0.7,0.82,3.99,73564.5
0.58,0.32,1.07246,55.8033
0.83,0.36,1.17048,6190.69
0.89,0.64,1.35314,10905.5
0.52,0.02,0.999855,1.81934
0.77,0.14,1.02643,322.649
0.64,0.56,1.3785,1177.81
0.95,0.96,0.916525,45824.3
0.58,0.3,1.05739,46.9168
0.7,0.8,4.64895,51371.3
0.83,0.34,1.04581,1554.38
0.89,0.62,1.92862,70392.7
0.77,0.12,1.00999,309.273
0.52,0,1.00179,1.66446
0.64,0.54,1.30275,596.673
0.95,0.94,0.385795,12586.1
0.58,0.28,1.05527,50.4584
0.83,0.32,1.18188,2858.19
0.77,0.1,0.999878,262.252
0.7,0.78,3.07425,14513.8
0.64,0.52,1.30073,841.327
0.51,0.98,17573.9,1.0488e+09
0.89,0.6,0.908313,7031.6
0.58,0.26,1.04869,33.6446
0.95,0.92,6.63617,352639
0.77,0.08,1.00589,189.838
0.83,0.3,1.01749,1684.29
0.7,0.76,2.99929,27178.5
0.64,0.5,1.18495,359.029
0.51,0.96,189.488,4.28796e+06
0.58,0.24,1.04622,28.8546
0.89,0.58,0.924168,4704.24
0.95,0.9,0.794038,19591
0.77,0.06,0.992338,185.817
0.83,0.28,1.1058,2106.41
0.64,0.48,1.22457,312.193
0.7,0.74,2.39433,18681.5
0.51,0.94,22.2785,57580.7
0.89,0.56,0.89547,7106.84
0.58,0.22,1.02262,21.0358
0.95,0.88,114.677,7.45727e+06
0.83,0.26,1.03194,1404.26
0.7,0.72,2.37219,13503
0.77,0.04,0.981596,148.221
0.58,0.2,1.02308,20.5831
0.89,0.54,3.09533,112203
0.51,0.92,12.8775,115624
0.64,0.46,1.19827,283.285
0.83,0.24,1.04948,576.329
0.77,0.02,0.986195,137.152
0.58,0.18,1.02284,22.658
0.89,0.52,1.24962,5512.04
0.51,0.9,9.46369,93943.2
0.95,0.86,0.592129,12663.6
0.7,0.7,2.09069,10410.4
0.64,0.44,1.17261,307.279
0.83,0.22,1.01975,822.037
0.77,0,0.984337,119.434
0.58,0.16,1.0126,17.48
0.51,0.88,11.7763,390011
0.89,0.5,1.75417,25846.5
0.7,0.68,1.79716,6879.7
0.95,0.84,0.260297,990.564
0.64,0.42,1.15343,757.375
0.83,0.2,1.0384,984.853
0.76,0.98,1581.57,9.25955e+07
0.58,0.14,1.00949,13.7785
0.51,0.86,4.71789,12369.7
0.7,0.66,1.69672,2900.02
0.89,0.48,1.8895,20326.6
0.95,0.82,0.516234,10515.7
0.83,0.18,1.03703,1151.22
0.64,0.4,1.12038,262.436
0.58,0.12,1.00995,24.2464
0.76,0.96,217.782,1.26693e+07
0.51,0.84,3.44438,3780.64
0.7,0.64,1.8864,11504.7
0.89,0.46,1.27873,8982.16
0.83,0.16,0.995467,375.681
0.95,0.8,0.664143,10655.8
0.64,0.38,1.12375,203.861
0.76,0.94,30.0866,943905
0.51,0.82,3.15655,5717.35
0.58,0.1,1.00636,9.46175
0.7,0.62,1.57909,4035.41
0.83,0.14,1.04135,765.196
0.95,0.78,0.622358,8245.59
0.89,0.44,1.6777,13825
0.64,0.36,1.11386,183.633
0.58,0.08,0.99977,8.2173
0.51,0.8,2.71673,5301.93
0.76,0.92,7.00575,79677.8
0.7,0.6,1.58543,3335.31
0.95,0.76,0.266717,773.331
0.83,0.12,1.00779,584.568
0.89,0.42,1.17588,11025
0.64,0.34,1.10509,765.037
0.51,0.78,2.58648,9024.35
0.58,0.06,1.00123,7.05858
0.76,0.9,8.61594,198168
0.7,0.58,1.62145,10899.3
0.83,0.1,0.964846,585.081
0.89,0.4,0.936186,2553.32
0.64,0.32,1.08004,117.936
0.58,0.04,1.00183,5.7086
0.95,0.74,0.688053,6800.19
0.51,0.76,2.27679,2735.42
0.76,0.88,10.2091,365273
0.7,0.56,1.3123,1883.16
0.89,0.38,0.914471,2350.06
0.64,0.3,1.06799,198.167
0.83,0.08,0.982922,454.255
0.95,0.72,0.601706,7530.77
0.51,0.74,2.01996,1731.46
0.58,0.02,0.996899,4.63288
0.76,0.86,8.38992,290515
0.7,0.54,1.46679,6865.46
0.83,0.06,0.95818,519.392
0.95,0.7,1.08161,44150.1
0.64,0.28,1.06193,189.634
0.89,0.36,1.04335,2160.5
0.51,0.72,1.79427,1379.48
0.58,0,0.994806,4.36521
0.76,0.84,4.16177,58114.6
0.7,0.52,1.37886,2996.77
0.83,0.04,0.982249,189.974
0.95,0.68,0.552125,5182.52
0.64,0.26,1.06241,105.019
0.89,0.34,1.1364,5961.52
0.51,0.7,1.6695,550.394
0.57,0.98,502.046,4.59817e+06
0.7,0.5,1.2394,801.961
0.76,0.82,2.08716,11055.7
0.83,0.02,0.969753,306.256
0.89,0.32,1.13887,5908.21
0.51,0.68,1.55549,1741.84
0.95,0.66,0.49986,5809.86
0.57,0.96,52.4345,246794
0.7,0.48,1.27767,627.352
0.64,0.24,1.05525,73.5207
0.83,0,1.00063,636.839
0.76,0.8,3.2897,77227.3
0.89,0.3,1.02091,1586.36
0.95,0.64,0.435404,3454.04
0.64,0.22,1.02683,56.6297
0.51,0.66,1.52707,646.713
0.7,0.46,1.23433,1347.5
0.57,0.94,28.4577,154893
0.82,0.98,169.572,8.04327e+06
0.76,0.78,3.79515,57268.6
0.95,0.62,0.641102,5315.82
0.89,0.28,1.10004,3910.2
0.51,0.64,1.45896,1342.28
0.64,0.2,1.0257,44.0508
0.57,0.92,13.2581,150361
0.7,0.44,1.12676,664.882
0.82,0.96,14.1182,450149
0.76,0.76,3.76718,94350.3
0.95,0.6,1.06708,27576.1
0.89,0.26,0.966029,4760.35
0.64,0.18,1.02446,51.0074
0.7,0.42,1.17102,405.167
0.51,0.62,1.41786,357.923
0.57,0.9,8.82981,34474.2
0.82,0.94,32.373,953281
0.76,0.74,2.44751,34900.9
0.95,0.58,1.18883,41777.4
0.51,0.6,1.35787,258.591
0.89,0.24,1.01007,1866.09
0.7,0.4,1.19209,1813.06
0.64,0.16,1.02707,41.3413
0.57,0.88,9.29208,145496
0.76,0.72,2.36427,31151.4
0.82,0.92,2.35717,19316.7
0.95,0.56,1.32169,29277.8
0.89,0.22,1.20022,12065.3
0.51,0.58,1.30365,552.596
0.7,0.38,1.12864,792.625
0.57,0.86,4.44422,11051.8
0.64,0.14,1.00694,40.5819
0.82,0.9,11.6646,286382
0.76,0.7,1.82773,19117.1
0.89,0.2,0.999787,3088.93
0.95,0.54,1.30649,21735.4
0.51,0.56,1.27365,488.273
0.7,0.36,1.11996,337.088
0.64,0.12,1.00479,32.6414
0.57,0.84,4.58243,22736.9
0.82,0.88,3.33968,12333.2
0.76,0.68,2.01921,11010.3
0.89,0.18,0.987083,990.964
0.51,0.54,1.25642,147.076
0.95,0.52,0.848315,4043.5
0.64,0.1,1.00457,21.7936
0.7,0.34,1.10222,547.04
0.57,0.82,3.41744,28790.6
0.76,0.66,1.48723,4810.43
0.82,0.86,3.03438,29677.5
0.89,0.16,1.01815,930.359
0.51,0.52,1.22902,120.042
0.64,0.08,1.00083,19.4714
0.7,0.32,1.10562,605.18
0.95,0.5,0.61763,2715.65
0.57,0.8,2.93959,10403.1
0.76,0.64,1.4333,3750.86
0.82,0.84,3.01997,58359.4
0.89,0.14,0.958715,790.841
0.51,0.5,1.17022,92.2334
0.64,0.06,1.00008,17.5377
0.95,0.48,0.602706,2764.07
0.7,0.3,1.08404,274.097
0.57,0.78,2.67728,6541.65
0.89,0.12,1.20246,5806.17
0.64,0.04,0.997864,12.7221
0.95,0.46,2.5776,121563
0.51,0.48,1.15048,145.778
0.76,0.62,1.40761,3234.65
0.7,0.28,1.08811,299.674
0.82,0.82,4.50714,84521.1
0.57,0.76,2.11313,2170.13
0.89,0.1,1.12402,5308.36
0.95,0.44,2.06568,72930.4
0.76,0.6,1.54294,2928.42
0.7,0.26,1.06746,197.467
0.64,0.02,0.992611,12.981
0.82,0.8,2.40742,30856.1
0.51,0.46,1.14661,82.8545
0.57,0.74,2.24869,6703.72
0.89,0.08,1.01504,1519.75
0.95,0.42,0.905145,7933.91
0.76,0.58,1.52532,5966.11
0.7,0.24,1.08499,712.584
0.64,0,0.994181,10.4736
0.51,0.44,1.12034,65.4672
0.82,0.78,2.23816,12054.8
0.7,0.22,1.05759,125.016
0.57,0.72,1.88592,2285.78
0.76,0.56,1.37236,2039.24
0.89,0.06,0.968535,1503.19
0.95,0.4,0.897232,13022.7
0.63,0.98,204.763,4.65405e+06
0.51,0.42,1.11172,55.4901
0.82,0.76,2.01031,19060.5
0.76,0.54,1.68161,16716.8
0.57,0.7,1.77471,1919.28
0.7,0.2,1.05054,214.739
0.89,0.04,1.01366,1283.25
0.51,0.4,1.08451,35.7943
0.95,0.38,0.596309,1654.57
0.82,0.74,2.23123,27906.4
0.63,0.96,42.6922,687371
0.76,0.52,1.37851,3419.56
0.57,0.68,1.54643,1256.93
0.7,0.18,1.02325,106.034
0.89,0.02,1.0033,1128.93
0.51,0.38,1.09092,87.6548
0.95,0.36,0.646157,2391.93
0.63,0.94,28.3058,471371
0.82,0.72,2.00354,10965.5
0.76,0.5,1.46109,4702.84
0.7,0.16,1.01855,135.569
0.57,0.66,1.65528,1119.21
0.89,0,0.960369,919.269
0.95,0.34,1.27218,10175.2
0.51,0.36,1.06749,23.9677
0.82,0.7,1.62563,11219.7
0.63,0.92,19.5339,382793
0.76,0.48,1.31279,3637.5
0.7,0.14,1.00533,73.7282
0.57,0.64,1.59601,4764.22
0.88,0.98,1.97152,30995.3
0.51,0.34,1.05883,29.068
0.63,0.9,12.1041,169888
0.82,0.68,2.79845,31087.9
0.95,0.32,8.50906,428127
0.76,0.46,1.21458,1920.69
0.7,0.12,1.01295,77.6732
0.88,0.96,65.3847,3.5513e+06
0.95,0.3,0.976739,9976.16
0.82,0.66,1.42905,7926.04
0.51,0.32,1.05748,18.1893
0.57,0.62,1.46354,624.587
0.76,0.44,1.21767,2550.56
0.63,0.88,8.9722,87560.2
0.7,0.1,1.00063,60.2961
0.95,0.28,1.6758,31948.1
0.51,0.3,1.04456,15.7877
0.57,0.6,1.38692,829.251
0.82,0.64,1.49783,5940.15
0.76,0.42,1.20557,1342.63
0.63,0.86,4.03242,14000.3
0.88,0.94,7.39855,273754
0.95,0.26,0.685091,1485.17
0.51,0.28,1.03451,16.764
0.76,0.4,1.11227,1733.3
0.63,0.84,4.13753,65595.8
0.82,0.62,1.22454,3043.64
0.7,0.08,1.00239,71.3606
0.57,0.58,1.38477,710.89
0.88,0.92,2.14626,21274.2
0.95,0.24,0.790469,5721.12
0.7,0.06,0.996537,91.0544
0.82,0.6,1.71939,15286.9
0.57,0.56,1.33199,484.761
0.76,0.38,1.1458,1105.42
0.88,0.9,9.48962,276899
0.51,0.26,1.02519,12.3745
0.63,0.82,2.94792,6646.07
0.95,0.22,0.971314,5272.36
0.7,0.04,0.990957,88.0398
0.82,0.58,1.41305,5720.92
0.57,0.54,1.26008,168.923
0.76,0.36,1.20046,1795.73
0.88,0.88,1.26965,23467.7
0.63,0.8,3.17419,9754.04
0.51,0.24,1.02661,12.7941
0.95,0.2,4.83855,241030
0.7,0.02,1.00018,49.5146
0.82,0.56,1.64707,12102.3
0.76,0.34,1.12293,2380.24
0.57,0.52,1.27981,548.802
0.88,0.86,1.37375,20076.5
0.63,0.78,2.80555,20117.5
0.51,0.22,1.01817,12.4014
0.7,0,0.987371,34.7855
0.82,0.54,1.73606,39140.4
0.95,0.18,0.80445,5741.48
0.76,0.32,1.16105,1439.84
0.57,0.5,1.21327,287.625
0.63,0.76,2.27011,6153.51
0.88,0.84,4.65212,202465
0.51,0.2,1.01699,6.11325
0.95,0.16,0.952692,4132.77
0.69,0.98,275.254,4.76537e+06
0.76,0.3,1.07431,447.103
0.82,0.52,1.28582,6546.71
0.57,0.48,1.16577,233.867
0.51,0.18,1.01657,6.48825
0.76,0.28,1.0228,389.92
0.95,0.14,1.03677,4840.32
0.63,0.74,2.57015,10337.7
0.88,0.82,1.31146,9686.07
0.69,0.96,55.3684,2.05205e+06
0.82,0.5,1.17395,1996.97
0.57,0.46,1.16492,184.865
0.51,0.16,1.00862,5.27288
0.95,0.12,0.798392,1270.36
0.63,0.72,2.05402,3371.07
0.76,0.26,1.02259,288.404
0.82,0.48,1.40168,5968.49
0.88,0.8,2.96058,116522
0.57,0.44,1.15595,325.835
0.69,0.94,18.5444,208737
0.51,0.14,1.00623,4.37864
0.95,0.1,0.869,3380.59
0.76,0.24,1.05408,484.912
0.63,0.7,1.93146,6050.7
0.88,0.78,18.9007,1.17785e+06
0.82,0.46,1.043,1165.66
0.57,0.42,1.13315,94.8292
0.69,0.92,14.2357,248898
0.51,0.12,1.00637,4.18592
0.95,0.08,0.88314,3075.34
0.76,0.22,1.07455,444.284
0.63,0.68,1.6633,1992.07
0.88,0.76,1.65811,10597.7
0.82,0.44,1.24125,5359.69
0.69,0.9,16.8347,142239
0.51,0.1,1.00277,4.07131
0.57,0.4,1.12052,79.9878
0.76,0.2,1.01088,160.96
0.95,0.06,0.791585,2862.47
0.63,0.66,1.90438,3189.38
0.88,0.74,1.413,14589
0.82,0.42,1.18671,3191.95
0.51,0.08,1.00136,2.55483
0.57,0.38,1.09011,82.9892
0.63,0.64,1.57005,2296.57
0.95,0.04,1.18235,18714.6
0.76,0.18,1.02494,369.899
0.69,0.88,21.6868,915182
0.88,0.72,1.21088,10967.5
0.82,0.4,1.09158,971.218
0.51,0.06,1.00066,2.10854
0.57,0.36,1.08852,72.6726
0.63,0.62,1.57742,3587.03
0.69,0.86,4.38261,16344.2
0.95,0.02,1.53186,37628.7
0.76,0.16,1.03151,501.479
0.88,0.7,1.49276,10373.3
0.82,0.38,1.4511,12785.9
0.51,0.04,1.00161,1.93518
0.57,0.34,1.06588,62.7773
0.63,0.6,1.45556,3053.39
0.69,0.84,3.77665,11588.5
0.76,0.14,1.03447,288.108
0.88,0.68,1.90506,59375.7
0.51,0.02,1.00126,1.55826
0.57,0.32,1.06281,51.1947
0.95,0,0.831243,2212.09
0.82,0.36,1.11619,2381.65
0.63,0.58,1.39634,2462.2
0.69,0.82,3.42256,20522.6
0.76,0.12,1.02867,448.251
0.88,0.66,1.47506,38695.5
0.51,0,1.00146,1.36826
0.57,0.3,1.06136,42.5505
0.82,0.34,1.17011,1792.44
0.63,0.56,1.3708,588.567
0.94,0.98,1.04298,41055.5
0.88,0.64,4.01622,171563
0.69,0.8,2.34723,13477
0.76,0.1,0.996216,643.528
0.57,0.28,1.04965,49.6105
0.5,0.98,1079.37,4.87803e+07
0.63,0.54,1.33313,833.283
0.82,0.32,1.33322,5513.67
0.94,0.96,236.774,1.53724e+07
0.69,0.78,2.68144,11124.3
0.88,0.62,1.48534,25785.1
0.76,0.08,1.01228,128.178
0.57,0.26,1.04611,38.0561
0.5,0.96,130.066,1.4412e+06
0.63,0.52,1.28866,720.914
0.94,0.94,0.456111,12969.9
0.76,0.06,0.99397,135.013
0.69,0.76,2.60299,18697.2
0.82,0.3,1.07382,1653.88
0.57,0.24,1.03637,28.5812
0.88,0.6,0.969441,2956.28
0.63,0.5,1.257,531.111
0.76,0.04,1.01322,197.765
0.69,0.74,2.23705,6360.2
0.5,0.94,33.5368,256161
0.94,0.92,0.631374,10025.2
0.57,0.22,1.03634,21.0959
0.82,0.28,1.09114,1428.28
0.88,0.58,0.949755,3202.32
0.63,0.48,1.23041,701.253
0.76,0.02,0.998026,120.372
0.69,0.72,1.78777,2059.2
0.5,0.92,14.9388,220320
0.82,0.26,1.04669,1367.68
0.57,0.2,1.02113,21.5385
0.94,0.9,1.08586,10028.3
0.88,0.56,0.959615,2807.5
0.63,0.46,1.21112,364.011
0.76,0,0.986063,95.1219
0.69,0.7,3.09919,90173.4
0.5,0.9,7.49578,41743.4
0.82,0.24,1.05529,2865.25
0.57,0.18,1.02088,18.5964
0.94,0.88,1.8524,74026.4
0.88,0.54,0.984709,5405.32
0.75,0.98,341.388,1.68185e+07
0.63,0.44,1.18471,305.644
0.69,0.68,1.96072,7955.86
0.82,0.22,1.03881,965.039
0.57,0.16,1.01473,15.3823
0.5,0.88,6.57714,38593.2
0.94,0.86,0.546806,6491.33
0.88,0.52,1.30725,18744.6
0.63,0.42,1.1928,255.748
0.75,0.96,189.344,1.05492e+07
0.69,0.66,1.68046,2469.62
0.57,0.14,1.00631,10.6012
0.82,0.2,1.15293,2124.58
0.5,0.86,4.60387,18377.1
0.94,0.84,1.69371,73357.1
0.88,0.5,1.10438,3495.27
0.63,0.4,1.15292,499.388
0.75,0.94,29.3918,687322
0.69,0.64,1.48956,2089.76
0.57,0.12,1.01344,12.207
0.82,0.18,1.01915,771.235
0.94,0.82,0.763725,7203.37
0.5,0.84,3.79717,6285.49
0.63,0.38,1.1373,387.48
0.88,0.48,2.77887,55226.7
0.75,0.92,102.175,6.19315e+06
0.82,0.16,1.03885,1443.74
0.57,0.1,1.00171,8.4192
0.69,0.62,1.53228,3005.92
0.94,0.8,1.0984,42313.2
0.5,0.82,3.0804,7308.17
0.63,0.36,1.09345,328.336
0.75,0.9,4.99572,47759
0.88,0.46,1.3405,8055.67
0.57,0.08,0.999677,7.14017
0.82,0.14,1.00724,475.337
0.94,0.78,1.81364,43337.4
0.69,0.6,1.43521,1388.94
0.88,0.44,1.03297,2493.04
0.5,0.8,2.70915,4843.86
0.75,0.88,9.38244,331977
0.63,0.34,1.12277,197.827
0.57,0.06,0.999153,5.36189
0.94,0.76,1.19519,38521.2
0.69,0.58,1.40725,4088.88
0.82,0.12,1.04935,2209.12
0.88,0.42,1.28036,8451.36
0.5,0.78,2.52874,4198.64
0.75,0.86,4.22017,18065.7
0.57,0.04,1.00029,5.76053
0.94,0.74,1.81743,41806.7
0.63,0.32,1.09625,113.389
0.82,0.1,1.01086,902.258
0.69,0.56,1.31728,1889.69
0.88,0.4,1.02992,2029.58
0.5,0.76,2.03094,1525.1
0.57,0.02,0.999274,4.21971
0.63,0.3,1.06411,92.5654
0.94,0.72,0.529358,3075.47
0.75,0.84,2.89516,13011.9
0.88,0.38,1.16414,7769.44
0.69,0.54,1.47853,6157.84
0.82,0.08,0.991912,893.003
0.57,0,0.999526,3.60314
0.5,0.74,1.96062,2412.11
0.63,0.28,1.06259,100.845
0.75,0.82,4.13901,91655.2
0.94,0.7,0.538291,2967.25
0.88,0.36,1.0109,1633.46
0.69,0.52,1.30944,742.744
0.82,0.06,0.965556,326.108
0.5,0.72,1.86116,1168.05
0.56,0.98,344.131,3.31982e+06
0.63,0.26,1.05224,62.6189
0.75,0.8,1.8955,6939
0.88,0.34,1.09558,4292.63
0.94,0.68,1.40794,23858
0.69,0.5,1.30884,1783.92
0.82,0.04,0.970787,285.444
0.5,0.7,1.67943,2944.34
0.56,0.96,48.6964,399974
0.63,0.24,1.04511,65.1414
0.88,0.32,1.12266,4107.2
0.75,0.78,2.92933,17282.2
0.94,0.66,1.00433,26299.3
0.69,0.48,1.26204,803.313
0.63,0.22,1.03879,58.7592
0.82,0.02,0.986084,526.166
0.56,0.94,39.322,942077
0.5,0.68,1.65663,1433.32
0.75,0.76,2.11623,13283.1
0.94,0.64,3.3539,138265
0.88,0.3,1.10847,4755.06
0.69,0.46,1.19523,640.658
0.63,0.2,1.02787,42.1066
0.82,0,0.984235,245.53
0.5,0.66,1.5516,490.534
0.75,0.74,2.28689,21916
0.56,0.92,23.505,735146
0.88,0.28,0.953538,3003.2
0.94,0.62,1.83827,20171.8
0.69,0.44,1.23968,1853.84
0.63,0.18,1.02664,53.0564
0.81,0.98,230.427,5.39102e+06
0.5,0.64,1.48551,659.121
0.75,0.72,1.87924,7584.67
0.88,0.26,1.02719,3025.03
0.56,0.9,11.6419,106770
0.69,0.42,1.17654,445.028
0.63,0.16,1.02033,48.0499
0.94,0.6,1.10825,18522.4
0.5,0.62,1.3756,412.552
0.88,0.24,1.25294,9284.52
0.75,0.7,2.15332,11456.9
0.81,0.96,220.913,1.23879e+07
0.56,0.88,5.64715,22621.6
0.63,0.14,1.01104,30.3138
0.69,0.4,1.18459,686.181
0.5,0.6,1.31523,206
0.94,0.58,1.01561,12442.7
0.88,0.22,1.24361,8132.12
0.81,0.94,32.4846,795691
0.75,0.68,1.85087,14132.7
0.56,0.86,5.39004,30577.4
0.63,0.12,1.01452,22.911
0.69,0.38,1.13597,627.359
0.5,0.58,1.30967,143.167
0.94,0.56,1.105,15089
0.88,0.2,1.192,7059.93
0.75,0.66,2.33243,56632.6
0.81,0.92,126.968,7.72039e+06
0.56,0.84,3.61813,7036.72
0.63,0.1,1.00293,23.6536
0.5,0.56,1.26328,138.877
0.69,0.36,1.11846,472.028
0.94,0.54,2.25618,75313.1
0.88,0.18,0.98943,1718.81
0.75,0.64,1.80815,9233.59
0.56,0.82,3.23888,5817.03
0.63,0.08,1.00182,23.4298
0.81,0.9,3.58952,46399
0.5,0.54,1.21469,109.425
0.94,0.52,1.02674,11371.7
0.69,0.34,1.12221,634.123
0.88,0.16,0.96704,1698.86
0.75,0.62,2.03265,30388.8
0.63,0.06,1.00675,17.4209
0.56,0.8,2.8068,3079.61
0.81,0.88,9.6491,469521
0.5,0.52,1.19543,95.8427
0.94,0.5,3.11484,73144.4
0.69,0.32,1.10952,303.585
0.75,0.6,1.68931,10752
0.88,0.14,1.02347,1527.96
0.56,0.78,2.73421,4973.84
0.63,0.04,0.999706,15.9512
0.94,0.48,0.845197,7549.34
0.5,0.5,1.16958,157.57
0.75,0.58,1.47489,3957.37
0.81,0.86,2.39883,22424.9
0.69,0.3,1.10724,225.75
0.88,0.12,0.949465,1430.3
0.63,0.02,0.995192,16.6081
0.56,0.76,2.43425,7381.97
0.94,0.46,0.645012,1553.42
0.5,0.48,1.14705,80.2499
0.81,0.84,2.93825,72465.1
0.75,0.56,1.36841,2416.99
0.69,0.28,1.07489,211.157
0.88,0.1,1.04639,1125.67
0.63,0,0.988478,9.3834
0.56,0.74,2.09147,4770.71
0.94,0.44,0.667128,1504.56
0.5,0.46,1.13149,58.6933
0.69,0.26,1.06189,247.272
0.75,0.54,1.28898,2237.86
0.88,0.08,0.968217,998.614
0.81,0.82,4.36139,59465.7
0.56,0.72,2.02036,3510.8
0.62,0.98,407.769,4.04903e+06
0.94,0.42,0.910486,7936.31
0.5,0.44,1.11538,45.6005
0.69,0.24,1.06057,309.349
0.75,0.52,1.23557,1843.53
0.88,0.06,0.986065,948.204
0.81,0.8,2.41616,36872.2
0.56,0.7,1.83011,2742.61
0.62,0.96,48.1463,473231
0.5,0.42,1.09961,42.6072
0.94,0.4,0.794336,7001.01
0.69,0.22,1.04336,128.016
0.88,0.04,0.971452,1828.98
0.81,0.78,2.54532,34766
0.75,0.5,1.3166,6885
0.62,0.94,25.7994,381996
0.56,0.68,1.73993,4118.56
0.5,0.4,1.08971,42.1472
0.94,0.38,4.43376,180280
0.69,0.2,1.0368,144.455
0.81,0.76,2.02291,15228.1
0.75,0.48,1.23448,914.536
0.88,0.02,0.950091,712.238
0.56,0.66,1.58014,838.931
0.62,0.92,14.4686,183390
0.69,0.18,1.02973,70.9234
0.94,0.36,1.0567,6448.69
0.5,0.38,1.07906,34.9978
0.88,0,0.922131,629.089
0.56,0.64,1.54865,1057.24
0.69,0.16,1.02118,98.8031
0.5,0.36,1.06891,35.2061
0.81,0.74,1.80206,10739.5
0.75,0.46,1.24234,2541.19
0.62,0.9,9.80519,127140
0.94,0.34,0.847122,5681.61
0.56,0.62,1.53778,965.11
0.69,0.14,1.01308,60.9908
0.5,0.34,1.0519,21.8885
0.75,0.44,1.2058,1962.62
0.81,0.72,2.30697,33230.6
0.94,0.32,0.96523,4153.85
0.87,0.98,207.894,1.04793e+07
0.62,0.88,6.22529,39811
0.5,0.32,1.04736,14.4764
0.69,0.12,1.01216,83.3063
0.81,0.7,1.54538,7532.66
0.56,0.6,1.3682,428.213
0.94,0.3,0.990527,4790.2
0.87,0.96,20.3655,404577
0.75,0.42,1.20408,856.966
0.62,0.86,6.00393,93823.3
0.5,0.3,1.04147,12.2672
0.81,0.68,1.75372,24535.8
0.69,0.1,1.01092,62.5987
0.75,0.4,1.1645,868.086
0.87,0.94,88.0597,5.6115e+06
0.62,0.84,5.23459,62827.7
0.56,0.58,1.3739,540.568
0.94,0.28,0.708377,4326.08
0.5,0.28,1.03428,14.0813
0.81,0.66,2.12606,22495.3
0.62,0.82,2.94385,5425.37
0.87,0.92,1.66958,24057.1
0.56,0.56,1.32313,284.534
0.69,0.08,0.998098,58.4631
0.75,0.38,1.12187,911.575
0.94,0.26,0.795407,3921.69
0.5,0.26,1.03143,9.89526
0.81,0.64,2.07017,15937
0.62,0.8,2.84428,4171.12
0.69,0.06,1.00024,37.562
0.87,0.9,8.00727,342259
0.56,0.54,1.24737,217.626
0.75,0.36,1.18921,1320.88
0.94,0.24,0.883669,3931.77
0.5,0.24,1.02328,8.08451
0.56,0.52,1.2449,283.976
0.69,0.04,0.994761,34.3202
0.62,0.78,2.71386,15670.4
0.81,0.62,1.57753,7430.61
0.75,0.34,1.1093,362.747
0.87,0.88,2.31005,44421.9
0.94,0.22,1.04316,19824.6
0.5,0.22,1.02073,7.78871
0.69,0.02,0.989666,32.6371
0.62,0.76,2.1741,10513.2
0.56,0.5,1.21704,235.786
0.81,0.6,1.56822,11832.6
0.75,0.32,1.10197,338.674
0.87,0.86,1.35823,30403.6
0.94,0.2,0.927676,4500.65
0.5,0.2,1.01289,5.90295
0.69,0,0.993625,21.9561
0.62,0.74,2.17757,7507.51
0.56,0.48,1.19151,122.082
0.81,0.58,1.5459,8527.01
0.87,0.84,1.62167,22532.2
